CALSPHERE 1             
1 00900U 64063C   24229.26272010  .00001890  00000+0  19595-2 0  9995
2 00900  90.2015  56.6570 0026481 154.9414  20.9850 13.75208256979284
CALSPHERE 2             
1 00902U 64063E   24228.78307241  .00000129  00000+0  18092-3 0  9994
2 00902  90.2154  60.2991 0019089  19.6876 353.0833 13.52809575765621
LCS 1                   
1 01361U 65034C   24228.98099422  .00000012  00000+0  49442-3 0  9998
2 01361  32.1451 328.3349 0007497 258.6771 101.2884  9.89305877143518
TEMPSAT 1               
1 01512U 65065E   24229.42480316  .00000112  00000+0  20637-3 0  9992
2 01512  89.9555 213.8189 0068734 330.9403 151.0215 13.33523999870786
CALSPHERE 4A            
1 01520U 65065H   24229.46829073  .00000225  00000+0  41608-3 0  9998
2 01520  89.9448 127.7415 0068184 191.7797 219.0035 13.36090223873273
OPS 5712 (P/L 160)      
1 02826U 67053A   24229.49364046  .00020699  00000+0  42321-2 0  9993
2 02826  69.9222 221.2367 0006376 298.6047  61.4450 14.60809110967766
LES-5                   
1 02866U 67066E   24229.51007476 -.00000106  00000+0  00000+0 0  9992
2 02866   1.1637 130.4951 0052281 164.4441 108.8968  1.09426149123706
SURCAL 159              
1 02872U 67053F   24229.44586556  .00000533  00000+0  40406-3 0  9999
2 02872  69.9766   2.6877 0009163 271.1130  88.8927 13.99257764916504
OPS 5712 (P/L 153)      
1 02874U 67053H   24229.10839416  .00000226  00000+0  20160-3 0  9994
2 02874  69.9736 111.3730 0008525 329.1208  30.9395 13.96616516913213
SURCAL 150B             
1 02909U 67053J   24229.56754925  .00052713  00000+0  62008-2 0  9998
2 02909  69.9384 161.3270 0002337 254.4389 105.6504 14.84539069979983
OPS 3811 (DSP 2)        
1 05204U 71039A   24229.57393084 -.00000040  00000+0  00000+0 0  9992
2 05204   1.5071 283.0641 0019229 353.1585 355.9783  0.98159534199658
RIGIDSPHERE 2 (LCS 4)   
1 05398U 71067E   24229.52938822  .00003343  00000+0  11220-2 0  9994
2 05398  87.6311 164.5598 0058930 293.9182  65.5849 14.36041086777708
OSCAR 7 (AO-7)          
1 07530U 74089B   24228.99833458 -.00000013  00000+0  21226-3 0  9990
2 07530 101.9821 224.2131 0012072 332.0267  95.5933 12.53678060276534
STARLETTE               
1 07646U 75010A   24229.51370977 -.00000091  00000+0  41406-4 0  9993
2 07646  49.8219 227.8986 0205589  10.7420 349.7768 13.82330524501903
LAGEOS 1                
1 08820U 76039A   24229.36053649  .00000000  00000+0  00000+0 0  9996
2 08820 109.8625 309.9057 0044048  85.8248 334.1885  6.38665103870778
OPS 8701 (DSP 10)       
1 13086U 82019A   24227.90532760 -.00000090  00000+0  00000+0 0  9995
2 13086  10.6603 314.1530 0004117 238.4898 120.6502  0.98189983 19065
PHASE 3B (AO-10)        
1 14129U 83058B   24226.69529235  .00000001  00000+0  00000+0 0  9997
2 14129  27.4027 329.9922 6032378 292.5583  16.2380  2.05865571281640
UOSAT 2 (UO-11)         
1 14781U 84021B   24229.52154589  .00005283  00000+0  59397-3 0  9997
2 14781  97.7091 197.0097 0006665 229.1199 130.9441 14.87096840157456
AJISAI (EGS)            
1 16908U 86061A   24229.53519663 -.00000092  00000+0  35653-4 0  9999
2 16908  50.0102  46.5460 0011106 275.9800 156.6398 12.44506780397003
TDRS 3                  
1 19548U 88091B   24229.17876657 -.00000291  00000+0  00000+0 0  9990
2 19548  13.1166 345.4935 0033116 337.6336  17.4299  1.00267561118645
COSMOS 1989 (ETALON 1)  
1 19751U 89001C   24228.84749065  .00000019  00000+0  00000+0 0  9990
2 19751  64.5792  95.1872 0023791 215.9024 157.3623  2.13156209277085
COSMOS 2024 (ETALON 2)  
1 20026U 89039C   24229.39737310 -.00000060  00000+0  00000+0 0  9996
2 20026  65.3095 333.5122 0019621 216.8188 261.0784  2.13204382274222
FLTSATCOM 8 (USA 46)    
